Frame,TTC Lidar,TTC Camera
1,12.9722,13.2021
2,12.264,14.7923
3,13.9161,12.2425
4,15.804,12.8629
5,12.5951,23.8807
6,7.14812,11.616
7,34.3404,14.6427
8,18.7875,11.4626
9,15.8894,12.9999
10,9.85736,10.4273
11,14.9877,10.9072
12,10.1,13.8096
13,9.22307,10.7673
14,10.9678,9.37477
15,8.09422,10.0865
16,8.81392,8.98555
17,10.2926,8.30757
18,8.30978,8.25056
19,7.64316,10.2051
20,4.73885,8.56145
21,6.8337,7.85534
22,6.80636,8.51611
23,8.43069,9.1456
24,6.92554,8.59854
25,7.14768,8.88301
26,9.97707,13.7471
27,7.06,10.0515
28,12.6681,9.46692
29,7.25063,10.0478
30,7.24126,10.756
31,11.0404,11.9459
32,10.9404,10.7906
33,9.22618,11.2627
34,7.60959,8.73391
35,6.59279,8.02498
36,10.6294,7.34274
37,7.03287,7.2521
38,5.08934,10.7793
39,5.47658,8.37237
40,5.20724,7.62391
41,5.16145,9.88641
42,5.9427,7.35887
43,13.8227,7.39888
44,4.738,10.1003
45,5.60845,8.05479
46,6.54998,9.4256
47,6.95384,9.53342
48,14.9666,10.8851
49,-149.754,17.1279
50,14.3935,14.6621
51,14.7735,24.1051
52,-73.9662,29.8663
53,15.7498,-177.7
54,-49.0984,-64.8944
55,-27.7191,-65.8519
56,27.6191,-366.063
57,-110.583,-508.745
58,49.0454,-161.832
59,-147.244,-257.043
60,63.0003,-249.842
61,-26.0409,-463.991
62,44.169,-312.113
63,147.144,-235.981
64,-220.816,-194.398
65,-73.6995,-71.8042
66,36.7497,-115.437
67,-63.1003,-178.519
68,-110.52,-501.451
69,29.3736,-283.159
70,-110.258,-222.166
71,inf,-408.652
72,88.1064,2194.87
73,-220.366,-1535.24
74,-88.238,1057.13
75,-147.177,757.326
76,73.4828,8484.86
