Frame,TTC Lidar,TTC Camera
1,12.9722,15.4326
2,12.264,18.6111
3,13.9161,12.528
4,15.804,14.8403
5,12.5951,17.9369
6,7.14812,15.4306
7,34.3404,16.3095
8,18.7875,14.9407
9,15.8894,13.63
10,9.85736,11.962
11,14.9877,12.5935
12,10.1,11.923
13,9.22307,9.60948
14,10.9678,9.61984
15,8.09422,9.60187
16,8.81392,9.2152
17,10.2926,10.2188
18,8.30978,9.85083
19,7.64316,8.93341
20,4.73885,8.70778
21,6.8337,8.75709
22,6.80636,7.62388
23,8.43069,9.36388
24,6.92554,8.59816
25,7.14768,10.1875
26,9.97707,10.6322
27,7.06,10.1462
28,12.6681,8.7485
29,7.25063,8.66853
30,7.24126,10.5977
31,11.0404,9.53135
32,10.9404,11.2274
33,9.22618,10.3471
34,7.60959,9.03146
35,6.59279,8.24289
36,10.6294,7.7945
37,7.03287,7.44242
38,5.08934,12.101
39,5.47658,10.6602
40,5.20724,9.97427
41,5.16145,9.74939
42,5.9427,7.67103
43,13.8227,7.34773
44,4.738,9.00185
45,5.60845,8.84066
46,6.54998,11.1204
47,6.95384,9.82032
48,14.9666,11.2328
49,-149.754,13.1483
50,14.3935,19.1027
51,14.7735,24.9511
52,-73.9662,42.281
53,15.7498,-106.623
54,-49.0984,-49.2109
55,-27.7191,-78.8039
56,27.6191,-194.573
57,-110.583,-185.1
58,49.0454,-86.6195
59,-147.244,-208.661
60,63.0003,-89.6443
61,-26.0409,-267.076
62,44.169,-154.734
63,147.144,-231.757
64,-220.816,-162.213
65,-73.6995,-47.6796
66,36.7497,-104.521
67,-63.1003,-104.407
68,-110.52,-139.821
69,29.3736,-313.024
70,-110.258,-168.379
71,inf,-631.157
72,88.1064,513.25
73,-220.366,-1073.43
74,-88.238,1382.2
75,-147.177,1377.83
76,73.4828,857.215
