Frame,TTC Lidar,TTC Camera
1,12.9722,12.8353
2,12.264,17.4691
3,13.9161,14.2316
4,15.804,16.1813
5,12.5951,14.8158
6,7.14812,15.8157
7,34.3404,15.7291
8,18.7875,15.4104
9,15.8894,13.5778
10,9.85736,12.3117
11,14.9877,12.0409
12,10.1,10.8085
13,9.22307,9.92776
14,10.9678,10.6156
15,8.09422,10.7659
16,8.81392,10.6267
17,10.2926,10.7606
18,8.30978,9.49339
19,7.64316,9.3368
20,4.73885,9.27258
21,6.8337,8.28898
22,6.80636,7.90411
23,8.43069,9.37467
24,6.92554,9.30132
25,7.14768,9.04266
26,9.97707,10.6222
27,7.06,9.62725
28,12.6681,9.56807
29,7.25063,9.56749
30,7.24126,9.60519
31,11.0404,11.5151
32,10.9404,12.4508
33,9.22618,11.1479
34,7.60959,9.39381
35,6.59279,8.22621
36,10.6294,8.17044
37,7.03287,7.53919
38,5.08934,9.35399
39,5.47658,9.71745
40,5.20724,8.10044
41,5.16145,8.56794
42,5.9427,7.45757
43,13.8227,7.77249
44,4.738,8.84334
45,5.60845,8.3606
46,6.54998,9.74491
47,6.95384,10.8953
48,14.9666,11.8466
49,-149.754,14.8301
50,14.3935,22.3508
51,14.7735,27.9666
52,-73.9662,44.3178
53,15.7498,-217.401
54,-49.0984,-60.8482
55,-27.7191,-70.2403
56,27.6191,-365.489
57,-110.583,-158.196
58,49.0454,-124.973
59,-147.244,-253.344
60,63.0003,-171.433
61,-26.0409,-170.903
62,44.169,-258.967
63,147.144,-240.132
64,-220.816,-212.228
65,-73.6995,-90.3503
66,36.7497,-134.007
67,-63.1003,-159.242
68,-110.52,-231.743
69,29.3736,-525.607
70,-110.258,-183.016
71,inf,-2720.47
72,88.1064,840.987
73,-220.366,-4854.06
74,-88.238,3228.55
75,-147.177,2385.32
76,73.4828,1157.48
