Frame,TTC Lidar,TTC Camera
1,12.9722,14.305
2,12.264,15.8307
3,13.9161,15.6553
4,15.804,17.5578
5,12.5951,17.7535
6,7.14812,13.7532
7,34.3404,14.2097
8,18.7875,16.1785
9,15.8894,13.1539
10,9.85736,12.254
11,14.9877,12.1304
12,10.1,10.3587
13,9.22307,10.1211
14,10.9678,9.81527
15,8.09422,9.91473
16,8.81392,10.1634
17,10.2926,10.4824
18,8.30978,8.97903
19,7.64316,9.61785
20,4.73885,9.07407
21,6.8337,9.14348
22,6.80636,8.40538
23,8.43069,8.78887
24,6.92554,8.7497
25,7.14768,8.88993
26,9.97707,9.67258
27,7.06,10.0254
28,12.6681,9.31513
29,7.25063,9.83192
30,7.24126,9.50129
31,11.0404,10.2592
32,10.9404,12.1118
33,9.22618,11.1452
34,7.60959,9.79578
35,6.59279,9.0925
36,10.6294,7.87728
37,7.03287,7.68546
38,5.08934,10.1358
39,5.47658,10.633
40,5.20724,10.532
41,5.16145,10.4799
42,5.9427,7.43854
43,13.8227,8.10973
44,4.738,8.86166
45,5.60845,8.49567
46,6.54998,11.1552
47,6.95384,10.4657
48,14.9666,11.6918
49,-149.754,12.9498
50,14.3935,20.4559
51,14.7735,24.1547
52,-73.9662,37.0331
53,15.7498,476.773
54,-49.0984,-85.071
55,-27.7191,-86.7863
56,27.6191,-314.295
57,-110.583,-360.101
58,49.0454,-117.652
59,-147.244,-317.31
60,63.0003,-273.777
61,-26.0409,-215.424
62,44.169,-475.441
63,147.144,-245.439
64,-220.816,-276.883
65,-73.6995,-131.143
66,36.7497,-137.485
67,-63.1003,-197.458
68,-110.52,-345.029
69,29.3736,-283.138
70,-110.258,-201.119
71,inf,-1386.93
72,88.1064,971.518
73,-220.366,-2322.42
74,-88.238,1082.17
75,-147.177,4208.15
76,73.4828,2838.18
