Frame,TTC Lidar,TTC Camera
1,12.9722,14.531
2,12.264,14.6288
3,13.9161,12.8762
4,15.804,14.397
5,12.5951,17.1142
6,7.14812,14.6182
7,34.3404,15.2576
8,18.7875,13.6205
9,15.8894,14.3563
10,9.85736,11.9882
11,14.9877,11.4773
12,10.1,11.7538
13,9.22307,9.87765
14,10.9678,10.0059
15,8.09422,10.8658
16,8.81392,9.50937
17,10.2926,8.55606
18,8.30978,8.943
19,7.64316,9.76363
20,4.73885,8.57968
21,6.8337,9.16947
22,6.80636,7.48282
23,8.43069,8.93697
24,6.92554,8.10945
25,7.14768,8.97688
26,9.97707,10.9888
27,7.06,10.3342
28,12.6681,9.17294
29,7.25063,9.47609
30,7.24126,10.4106
31,11.0404,10.4527
32,10.9404,12.1847
33,9.22618,12.8446
34,7.60959,9.42941
35,6.59279,8.82766
36,10.6294,7.68876
37,7.03287,7.58891
38,5.08934,9.68447
39,5.47658,10.5044
40,5.20724,9.11878
41,5.16145,9.91681
42,5.9427,7.35624
43,13.8227,7.26223
44,4.738,12.4939
45,5.60845,8.43784
46,6.54998,11.3374
47,6.95384,9.79471
48,14.9666,11.8969
49,-149.754,13.8271
50,14.3935,16.5153
51,14.7735,26.0352
52,-73.9662,46.4492
53,15.7498,297.339
54,-49.0984,-78.0322
55,-27.7191,-75.1853
56,27.6191,-110.788
57,-110.583,-244.677
58,49.0454,-109.138
59,-147.244,-199.282
60,63.0003,-123.267
61,-26.0409,-334.71
62,44.169,-124.073
63,147.144,-483.379
64,-220.816,-151.207
65,-73.6995,-72.2346
66,36.7497,-94.6099
67,-63.1003,-151.802
68,-110.52,-320.486
69,29.3736,-211.2
70,-110.258,-199.255
71,inf,-835.772
72,88.1064,548.788
73,-220.366,-1493.33
74,-88.238,476.9
75,-147.177,-1989.17
76,73.4828,-5527.54
