Frame,TTC Lidar,TTC Camera
1,12.9722,22.7264
2,12.264,14.0576
3,13.9161,12.1573
4,15.804,18.1244
5,12.5951,32.592
6,7.14812,15.179
7,34.3404,17.3768
8,18.7875,16.1963
9,15.8894,11.944
10,9.85736,15.6119
11,14.9877,11.4424
12,10.1,17.8912
13,9.22307,14.1557
14,10.9678,9.94284
15,8.09422,18.2155
16,8.81392,13.4037
17,10.2926,11.7376
18,8.30978,11.3615
19,7.64316,13.769
20,4.73885,9.12967
21,6.8337,7.58498
22,6.80636,14.8703
23,8.43069,11.2862
24,6.92554,11.1932
25,7.14768,9.40319
26,9.97707,9.02441
27,7.06,19.4101
28,12.6681,12.9069
29,7.25063,13.2054
30,7.24126,13.381
31,11.0404,19.71
32,10.9404,17.1959
33,9.22618,24.3483
34,7.60959,13.4477
35,6.59279,11.6304
36,10.6294,10.0217
37,7.03287,9.03612
38,5.08934,9.73288
39,5.47658,11.6442
40,5.20724,7.4878
41,5.16145,8.45865
42,5.9427,6.97675
43,13.8227,8.64551
44,4.738,7.7395
45,5.60845,8.6898
46,6.54998,11.4384
47,6.95384,11.8335
48,14.9666,12.3759
49,-149.754,11.0519
50,14.3935,16.5003
51,14.7735,28.9709
52,-73.9662,65.2049
53,15.7498,97.8611
54,-49.0984,-101.62
55,-27.7191,-122.291
56,27.6191,114.043
57,-110.583,-209.244
58,49.0454,-101.078
59,-147.244,-99.7531
60,63.0003,-163.863
61,-26.0409,-342.068
62,44.169,-157.844
63,147.144,-354.315
64,-220.816,-93.6322
65,-73.6995,-398.465
66,36.7497,-127.726
67,-63.1003,-70.8462
68,-110.52,-445.909
69,29.3736,-226.035
70,-110.258,-364.943
71,inf,-6781.34
72,88.1064,515.222
73,-220.366,-645.089
74,-88.238,-533.674
75,-147.177,999.28
76,73.4828,-409.776
