Frame,TTC Lidar,TTC Camera
1,12.9722,12.328
2,12.264,18.9055
3,13.9161,9.08239
4,15.804,18.0838
5,12.5951,36.8012
6,7.14812,21.3536
7,34.3404,19.5385
8,18.7875,16.1676
9,15.8894,16.2373
10,9.85736,23.491
11,14.9877,13.8148
12,10.1,9.76102
13,9.22307,12.585
14,10.9678,11.0823
15,8.09422,13.7274
16,8.81392,11.245
17,10.2926,8.17634
18,8.30978,9.04858
19,7.64316,9.11665
20,4.73885,9.33365
21,6.8337,9.52508
22,6.80636,9.60116
23,8.43069,10.6702
24,6.92554,9.27988
25,7.14768,10.5358
26,9.97707,10.6108
27,7.06,13.8223
28,12.6681,11.5217
29,7.25063,12.0304
30,7.24126,14.1541
31,11.0404,19.1112
32,10.9404,24.8132
33,9.22618,17.681
34,7.60959,12.8195
35,6.59279,10.2131
36,10.6294,9.33345
37,7.03287,8.15501
38,5.08934,10.6458
39,5.47658,9.6665
40,5.20724,9.04481
41,5.16145,7.56368
42,5.9427,7.55821
43,13.8227,8.16565
44,4.738,8.48786
45,5.60845,10.3264
46,6.54998,10.28
47,6.95384,10.8731
48,14.9666,11.1801
49,-149.754,11.7453
50,14.3935,18.6544
51,14.7735,22.8503
52,-73.9662,45.9941
53,15.7498,203.033
54,-49.0984,-144.455
55,-27.7191,-59.0289
56,27.6191,-398.706
57,-110.583,-299.288
58,49.0454,-113.648
59,-147.244,-124.506
60,63.0003,-181.727
61,-26.0409,-397.099
62,44.169,-210.773
63,147.144,-635.22
64,-220.816,-306.265
65,-73.6995,-180.14
66,36.7497,-486.387
67,-63.1003,-327.004
68,-110.52,-281.35
69,29.3736,-325.428
70,-110.258,-910.2
71,inf,-616.964
72,88.1064,329.397
73,-220.366,-1237.13
74,-88.238,-2434.38
75,-147.177,838.813
76,73.4828,-828.719
