Frame,TTC Lidar,TTC Camera
1,12.9722,14.1207
2,12.264,54.1851
3,13.9161,15.6796
4,15.804,12.9921
5,12.5951,23.0739
6,7.14812,27.2437
7,34.3404,18.5218
8,18.7875,19.2322
9,15.8894,12.992
10,9.85736,13.2396
11,14.9877,11.8149
12,10.1,10.9945
13,9.22307,9.97985
14,10.9678,11.6686
15,8.09422,14.124
16,8.81392,8.41798
17,10.2926,8.53333
18,8.30978,9.72661
19,7.64316,10.2054
20,4.73885,10.5507
21,6.8337,12.0352
22,6.80636,9.7205
23,8.43069,9.5717
24,6.92554,10.9755
25,7.14768,14.3366
26,9.97707,11.1085
27,7.06,12.7039
28,12.6681,11.4897
29,7.25063,12.3274
30,7.24126,17.7993
31,11.0404,18.965
32,10.9404,26.1452
33,9.22618,14.3443
34,7.60959,12.4406
35,6.59279,11.002
36,10.6294,10.3946
37,7.03287,8.30319
38,5.08934,9.80336
39,5.47658,9.26649
40,5.20724,9.39677
41,5.16145,9.57123
42,5.9427,6.77981
43,13.8227,7.92279
44,4.738,8.01636
45,5.60845,10.9419
46,6.54998,9.82935
47,6.95384,12.1686
48,14.9666,13.3825
49,-149.754,13.2284
50,14.3935,20.37
51,14.7735,24.2104
52,-73.9662,43.2266
53,15.7498,121.51
54,-49.0984,-134.666
55,-27.7191,-65.0085
56,27.6191,-197.684
57,-110.583,-8864.58
58,49.0454,-130.725
59,-147.244,-315.985
60,63.0003,-299.647
61,-26.0409,-148.699
62,44.169,-113.169
63,147.144,-903.027
64,-220.816,-199.664
65,-73.6995,-150.599
66,36.7497,-241.299
67,-63.1003,-829.586
68,-110.52,-205.841
69,29.3736,-237.017
70,-110.258,-619.29
71,inf,-333.472
72,88.1064,398.929
73,-220.366,-2577.21
74,-88.238,826.328
75,-147.177,3687.79
76,73.4828,-1375.16
