Frame,TTC Lidar,TTC Camera
1,12.9722,22.0665
2,12.264,21.1883
3,13.9161,11.5422
4,15.804,17.4799
5,12.5951,22.7929
6,7.14812,22.6234
7,34.3404,20.7476
8,18.7875,16.1829
9,15.8894,15.0818
10,9.85736,10.7048
11,14.9877,12.9066
12,10.1,10.5447
13,9.22307,12.456
14,10.9678,11.9123
15,8.09422,11.8248
16,8.81392,9.93838
17,10.2926,9.58072
18,8.30978,10.2849
19,7.64316,9.97999
20,4.73885,11.1344
21,6.8337,9.74462
22,6.80636,10.7975
23,8.43069,10.6541
24,6.92554,9.5725
25,7.14768,12.4418
26,9.97707,12.9708
27,7.06,13.9937
28,12.6681,11.7955
29,7.25063,15.4597
30,7.24126,13.1777
31,11.0404,16.4745
32,10.9404,13.0194
33,9.22618,17.6614
34,7.60959,10.2288
35,6.59279,10.306
36,10.6294,9.37445
37,7.03287,10.1907
38,5.08934,8.69615
39,5.47658,8.3499
40,5.20724,9.04023
41,5.16145,7.73295
42,5.9427,6.98995
43,13.8227,8.1321
44,4.738,8.15579
45,5.60845,10.3232
46,6.54998,10.5465
47,6.95384,10.6773
48,14.9666,12.3043
49,-149.754,13.1025
50,14.3935,18.9242
51,14.7735,23.3069
52,-73.9662,47.9459
53,15.7498,139.445
54,-49.0984,-192.62
55,-27.7191,-89.7797
56,27.6191,-608.093
57,-110.583,-2423.7
58,49.0454,-132.929
59,-147.244,-7623.82
60,63.0003,-276.64
61,-26.0409,-251.044
62,44.169,-451.306
63,147.144,-471.816
64,-220.816,-284.615
65,-73.6995,-768.922
66,36.7497,-194.182
67,-63.1003,-238.886
68,-110.52,-267.92
69,29.3736,-193.695
70,-110.258,-643.995
71,inf,-466.863
72,88.1064,493.95
73,-220.366,-833.176
74,-88.238,-1339.02
75,-147.177,727.336
76,73.4828,-746.364
