Frame,TTC Lidar,TTC Camera
1,12.9722,20.6113
2,12.264,5.54535
3,13.9161,12.617
4,15.804,23.7717
5,12.5951,12.2766
6,7.14812,-inf
7,34.3404,-48.1072
8,18.7875,11.8662
9,15.8894,9.85209
10,9.85736,12.3387
11,14.9877,15.4649
12,10.1,10.2236
13,9.22307,11.807
14,10.9678,12.0367
15,8.09422,11.7009
16,8.81392,12.4124
17,10.2926,6.18017
18,8.30978,11.4885
19,7.64316,11.7051
20,4.73885,11.4056
21,6.8337,8.13427
22,6.80636,7.45199
23,8.43069,8.32828
24,6.92554,9.19485
25,7.14768,10.1797
26,9.97707,8.97208
27,7.06,18.9099
28,12.6681,11.3769
29,7.25063,10.356
30,7.24126,12.9031
31,11.0404,13.7002
32,10.9404,16.884
33,9.22618,22.5986
34,7.60959,12.4833
35,6.59279,9.80713
36,10.6294,8.38608
37,7.03287,10.5295
38,5.08934,11.1661
39,5.47658,8.90323
40,5.20724,8.57544
41,5.16145,8.26387
42,5.9427,6.80515
43,13.8227,7.24617
44,4.738,8.42506
45,5.60845,8.96502
46,6.54998,11.5213
47,6.95384,10.5006
48,14.9666,13.351
49,-149.754,10.9335
50,14.3935,28.815
51,14.7735,16.854
52,-73.9662,-inf
53,15.7498,60.4944
54,-49.0984,-55.3653
55,-27.7191,-117.84
56,27.6191,-92.7083
57,-110.583,-inf
58,49.0454,-inf
59,-147.244,-inf
60,63.0003,-inf
61,-26.0409,-inf
62,44.169,-inf
63,147.144,-inf
64,-220.816,-inf
65,-73.6995,-inf
66,36.7497,-inf
67,-63.1003,-inf
68,-110.52,-inf
69,29.3736,-inf
70,-110.258,-inf
71,inf,-553.907
72,88.1064,-inf
73,-220.366,-inf
74,-88.238,-inf
75,-147.177,-inf
76,73.4828,-inf
