Frame,TTC Lidar,TTC Camera
1,12.9722,11.6858
2,12.264,12.1782
3,13.9161,14.1877
4,15.804,13.1022
5,12.5951,-inf
6,7.14812,14.9086
7,34.3404,12.1894
8,18.7875,11.1869
9,15.8894,14.0692
10,9.85736,19.8737
11,14.9877,14.0383
12,10.1,12.7402
13,9.22307,11.2236
14,10.9678,11.1312
15,8.09422,11.4727
16,8.81392,13.0515
17,10.2926,9.7903
18,8.30978,11.3852
19,7.64316,11.3526
20,4.73885,12.2758
21,6.8337,11.015
22,6.80636,11.1376
23,8.43069,8.80157
24,6.92554,9.44789
25,7.14768,9.28715
26,9.97707,11.2228
27,7.06,10.0586
28,12.6681,10.004
29,7.25063,11.4126
30,7.24126,12.1229
31,11.0404,13.0303
32,10.9404,12.6448
33,9.22618,15.0592
34,7.60959,11.6858
35,6.59279,8.96561
36,10.6294,7.79118
37,7.03287,10.2256
38,5.08934,8.913
39,5.47658,12.4284
40,5.20724,10.2239
41,5.16145,10.1493
42,5.9427,7.44538
43,13.8227,7.09821
44,4.738,9.75765
45,5.60845,9.20239
46,6.54998,10.6001
47,6.95384,10.2351
48,14.9666,10.9374
49,-149.754,14.8888
50,14.3935,16.1415
51,14.7735,19.8858
52,-73.9662,73.9715
53,15.7498,-inf
54,-49.0984,-82.8702
55,-27.7191,-inf
56,27.6191,-inf
57,-110.583,-inf
58,49.0454,-inf
59,-147.244,-inf
60,63.0003,-inf
61,-26.0409,-inf
62,44.169,-inf
63,147.144,-inf
64,-220.816,-inf
65,-73.6995,-inf
66,36.7497,-inf
67,-63.1003,-inf
68,-110.52,-inf
69,29.3736,-inf
70,-110.258,-inf
71,inf,-inf
72,88.1064,-inf
73,-220.366,-inf
74,-88.238,-inf
75,-147.177,-inf
76,73.4828,-inf
