Frame,TTC Lidar,TTC Camera
1,12.9722,12.1246
2,12.264,-inf
3,13.9161,13.2817
4,15.804,38.8615
5,12.5951,-inf
6,7.14812,13.2007
7,34.3404,15.4471
8,18.7875,10.7933
9,15.8894,12.9719
10,9.85736,12.2521
11,14.9877,12.3616
12,10.1,10.974
13,9.22307,11.0552
14,10.9678,9.14091
15,8.09422,8.20037
16,8.81392,12.1821
17,10.2926,7.99033
18,8.30978,12.4011
19,7.64316,12.6708
20,4.73885,11.8472
21,6.8337,9.80725
22,6.80636,9.3064
23,8.43069,10.542
24,6.92554,11.3441
25,7.14768,8.70951
26,9.97707,11.2246
27,7.06,15.2539
28,12.6681,11.3814
29,7.25063,11.4879
30,7.24126,13.7887
31,11.0404,13.4884
32,10.9404,12.1376
33,9.22618,16.9255
34,7.60959,10.1914
35,6.59279,9.18809
36,10.6294,8.73235
37,7.03287,8.80842
38,5.08934,9.25033
39,5.47658,11.0414
40,5.20724,9.45078
41,5.16145,7.58852
42,5.9427,7.86412
43,13.8227,6.58958
44,4.738,9.08135
45,5.60845,8.60895
46,6.54998,10.4738
47,6.95384,11.1999
48,14.9666,10.5958
49,-149.754,12.985
50,14.3935,15.7279
51,14.7735,19.1226
52,-73.9662,34.1227
53,15.7498,-inf
54,-49.0984,-inf
55,-27.7191,-inf
56,27.6191,-inf
57,-110.583,-inf
58,49.0454,-inf
59,-147.244,-inf
60,63.0003,-inf
61,-26.0409,-inf
62,44.169,-110.974
63,147.144,-inf
64,-220.816,-inf
65,-73.6995,-inf
66,36.7497,-inf
67,-63.1003,-inf
68,-110.52,-inf
69,29.3736,-inf
70,-110.258,-inf
71,inf,-inf
72,88.1064,-inf
73,-220.366,-inf
74,-88.238,-inf
75,-147.177,-inf
76,73.4828,-inf
