Frame,TTC Lidar,TTC Camera
1,12.9722,11.517
2,12.264,9.49428
3,13.9161,11.7218
4,15.804,13.177
5,12.5951,31.7259
6,7.14812,38.8408
7,34.3404,10.4999
8,18.7875,17.1076
9,15.8894,11.26
10,9.85736,12.4284
11,14.9877,21.0684
12,10.1,11.0755
13,9.22307,12.9039
14,10.9678,8.49286
15,8.09422,9.45439
16,8.81392,9.10744
17,10.2926,10.4814
18,8.30978,10.4652
19,7.64316,9.30535
20,4.73885,11.0293
21,6.8337,7.77238
22,6.80636,8.85821
23,8.43069,7.74271
24,6.92554,7.66016
25,7.14768,8.98416
26,9.97707,9.1514
27,7.06,13.0219
28,12.6681,10.5526
29,7.25063,10.8857
30,7.24126,11.5907
31,11.0404,13.6566
32,10.9404,14.4569
33,9.22618,16.884
34,7.60959,10.1273
35,6.59279,9.29067
36,10.6294,9.1045
37,7.03287,8.5367
38,5.08934,9.85354
39,5.47658,10.2192
40,5.20724,7.35665
41,5.16145,7.13252
42,5.9427,6.99796
43,13.8227,6.87019
44,4.738,8.81017
45,5.60845,9.29645
46,6.54998,10.3555
47,6.95384,9.33924
48,14.9666,12.305
49,-149.754,13.2268
50,14.3935,21.615
51,14.7735,20.2568
52,-73.9662,-inf
53,15.7498,-inf
54,-49.0984,-7607.54
55,-27.7191,-inf
56,27.6191,-inf
57,-110.583,-inf
58,49.0454,-inf
59,-147.244,-inf
60,63.0003,-inf
61,-26.0409,146.613
62,44.169,-inf
63,147.144,-inf
64,-220.816,-inf
65,-73.6995,-inf
66,36.7497,-inf
67,-63.1003,-inf
68,-110.52,-inf
69,29.3736,-inf
70,-110.258,-inf
71,inf,-inf
72,88.1064,-inf
73,-220.366,-inf
74,-88.238,-inf
75,-147.177,-inf
76,73.4828,-inf
