Frame,TTC Lidar,TTC Camera
1,12.9722,20.7401
2,12.264,-inf
3,13.9161,-25.7683
4,15.804,19.8252
5,12.5951,12.6192
6,7.14812,122.526
7,34.3404,11.0573
8,18.7875,24.6581
9,15.8894,20.9768
10,9.85736,7.67975
11,14.9877,16.9104
12,10.1,5.8765
13,9.22307,15.897
14,10.9678,7.33069
15,8.09422,8.09167
16,8.81392,10.052
17,10.2926,11.6294
18,8.30978,161.354
19,7.64316,27.6886
20,4.73885,9.99889
21,6.8337,10.0586
22,6.80636,9.75424
23,8.43069,12.581
24,6.92554,8.50239
25,7.14768,12.0388
26,9.97707,15.9882
27,7.06,12.9596
28,12.6681,45.3228
29,7.25063,-inf
30,7.24126,11.4332
31,11.0404,-inf
32,10.9404,9.63717
33,9.22618,11.3427
34,7.60959,11.3999
35,6.59279,9.20524
36,10.6294,7.13123
37,7.03287,7.70982
38,5.08934,9.16929
39,5.47658,9.39344
40,5.20724,13.6737
41,5.16145,18.5272
42,5.9427,6.715
43,13.8227,7.88034
44,4.738,21.3456
45,5.60845,6.84739
46,6.54998,7.88407
47,6.95384,43.0186
48,14.9666,31.5048
49,-149.754,-263.947
50,14.3935,26.7614
51,14.7735,34.7341
52,-73.9662,-inf
53,15.7498,-20.5992
54,-49.0984,-inf
55,-27.7191,-47.3413
56,27.6191,-inf
57,-110.583,-31.2866
58,49.0454,-inf
59,-147.244,-inf
60,63.0003,-inf
61,-26.0409,-inf
62,44.169,-inf
63,147.144,-inf
64,-220.816,-96.8911
65,-73.6995,-inf
66,36.7497,-inf
67,-63.1003,-inf
68,-110.52,-inf
69,29.3736,-inf
70,-110.258,-inf
71,inf,-inf
72,88.1064,-inf
73,-220.366,-inf
74,-88.238,-inf
75,-147.177,-inf
76,73.4828,-inf
