Frame,TTC Lidar,TTC Camera
1,12.9722,11.1942
2,12.264,-inf
3,13.9161,-2763.64
4,15.804,10.8663
5,12.5951,-4.81902
6,7.14812,6.62232
7,34.3404,-inf
8,18.7875,9.2186
9,15.8894,1.89512
10,9.85736,6.08754
11,14.9877,10.8158
12,10.1,12.0831
13,9.22307,5.76298
14,10.9678,-inf
15,8.09422,11.5487
16,8.81392,8.64257
17,10.2926,-inf
18,8.30978,12.0139
19,7.64316,11.2153
20,4.73885,10.7217
21,6.8337,10.3033
22,6.80636,7.88475
23,8.43069,8.06631
24,6.92554,11.8799
25,7.14768,-inf
26,9.97707,11.6383
27,7.06,11.3492
28,12.6681,31.846
29,7.25063,-inf
30,7.24126,9.61903
31,11.0404,-inf
32,10.9404,11.1987
33,9.22618,-inf
34,7.60959,74.5469
35,6.59279,11.6911
36,10.6294,5.1278
37,7.03287,7.39532
38,5.08934,13.9692
39,5.47658,9.26946
40,5.20724,-119.76
41,5.16145,-170.095
42,5.9427,-inf
43,13.8227,-inf
44,4.738,-inf
45,5.60845,24.7577
46,6.54998,-12.0368
47,6.95384,-38.8516
48,14.9666,-inf
49,-149.754,-18.4554
50,14.3935,61.2006
51,14.7735,-24.9873
52,-73.9662,-16.181
53,15.7498,-15.3683
54,-49.0984,-18.0734
55,-27.7191,-15.7158
56,27.6191,-5337.1
57,-110.583,-76.965
58,49.0454,-33.187
59,-147.244,-412.927
60,63.0003,-33.8736
61,-26.0409,-inf
62,44.169,-18.5298
63,147.144,-inf
64,-220.816,-27.2232
65,-73.6995,-inf
66,36.7497,-inf
67,-63.1003,-16.7929
68,-110.52,-inf
69,29.3736,-inf
70,-110.258,-inf
71,inf,-inf
72,88.1064,-inf
73,-220.366,-inf
74,-88.238,-inf
75,-147.177,-inf
76,73.4828,-inf
