Frame,TTC Lidar,TTC Camera
1,12.9722,18.3099
2,12.264,45.2974
3,13.9161,12.2284
4,15.804,16.3103
5,12.5951,26.2588
6,7.14812,11.4116
7,34.3404,10.8052
8,18.7875,8.35686
9,15.8894,11.3509
10,9.85736,10.8526
11,14.9877,8.29125
12,10.1,8.26782
13,9.22307,13.5165
14,10.9678,8.54226
15,8.09422,8.38857
16,8.81392,7.51101
17,10.2926,9.72213
18,8.30978,16.5322
19,7.64316,13.6666
20,4.73885,8.3939
21,6.8337,12.0729
22,6.80636,6.47309
23,8.43069,10.2249
24,6.92554,9.45408
25,7.14768,15.1698
26,9.97707,11.6703
27,7.06,17.3461
28,12.6681,22.8435
29,7.25063,1260.46
30,7.24126,28.9156
31,11.0404,15.1203
32,10.9404,34.6946
33,9.22618,14.4906
34,7.60959,12.0002
35,6.59279,9.11743
36,10.6294,8.86964
37,7.03287,6.40932
38,5.08934,10.7116
39,5.47658,10.523
40,5.20724,15.3672
41,5.16145,19.7156
42,5.9427,10.3837
43,13.8227,10.822
44,4.738,11.9944
45,5.60845,10.009
46,6.54998,16.0455
47,6.95384,35.5993
48,14.9666,65.0692
49,-149.754,113.169
50,14.3935,53.8501
51,14.7735,170.75
52,-73.9662,-inf
53,15.7498,-29.4371
54,-49.0984,-inf
55,-27.7191,-24.2783
56,27.6191,-inf
57,-110.583,-inf
58,49.0454,-inf
59,-147.244,-inf
60,63.0003,-inf
61,-26.0409,-inf
62,44.169,-inf
63,147.144,-inf
64,-220.816,-inf
65,-73.6995,-inf
66,36.7497,-inf
67,-63.1003,-inf
68,-110.52,-inf
69,29.3736,-inf
70,-110.258,-inf
71,inf,-inf
72,88.1064,-inf
73,-220.366,-inf
74,-88.238,-inf
75,-147.177,-inf
76,73.4828,-inf
