Frame,TTC Lidar,TTC Camera
1,12.9722,12.2644
2,12.264,13.893
3,13.9161,11.8813
4,15.804,-inf
5,12.5951,14.2568
6,7.14812,19.2074
7,34.3404,-26.121
8,18.7875,13.1503
9,15.8894,10.6031
10,9.85736,24.7169
11,14.9877,10.1027
12,10.1,12.5157
13,9.22307,11.2348
14,10.9678,14.3491
15,8.09422,10.1
16,8.81392,10.7342
17,10.2926,16.9963
18,8.30978,6.93904
19,7.64316,12.6821
20,4.73885,7.64868
21,6.8337,11.9489
22,6.80636,10.8811
23,8.43069,7.77391
24,6.92554,12.0677
25,7.14768,8.24755
26,9.97707,34.9896
27,7.06,8.70828
28,12.6681,8.88737
29,7.25063,12.4451
30,7.24126,-92.9105
31,11.0404,10.8132
32,10.9404,14.5178
33,9.22618,9.25041
34,7.60959,21.1122
35,6.59279,10.8182
36,10.6294,13.0046
37,7.03287,8.56004
38,5.08934,11.5447
39,5.47658,9.70506
40,5.20724,7.60559
41,5.16145,9.63244
42,5.9427,6.40097
43,13.8227,9.10992
44,4.738,9.12732
45,5.60845,10.3085
46,6.54998,10.7623
47,6.95384,11.0723
48,14.9666,11.3945
49,-149.754,10.6452
50,14.3935,21.2908
51,14.7735,17.6606
52,-73.9662,37.1813
53,15.7498,1421.28
54,-49.0984,-46.2479
55,-27.7191,-inf
56,27.6191,83.6169
57,-110.583,-234.682
58,49.0454,-inf
59,-147.244,-inf
60,63.0003,-inf
61,-26.0409,-inf
62,44.169,-inf
63,147.144,-inf
64,-220.816,-inf
65,-73.6995,-inf
66,36.7497,-1170.94
67,-63.1003,-inf
68,-110.52,-inf
69,29.3736,-inf
70,-110.258,-inf
71,inf,-inf
72,88.1064,-inf
73,-220.366,-inf
74,-88.238,-inf
75,-147.177,-inf
76,73.4828,-inf
