Frame,TTC Lidar,TTC Camera
1,12.9722,17.166
2,12.264,13.7007
3,13.9161,13.4455
4,15.804,11.8507
5,12.5951,18.3731
6,7.14812,16.2001
7,34.3404,12.8408
8,18.7875,18.4937
9,15.8894,11.4571
10,9.85736,14.8242
11,14.9877,11.5125
12,10.1,12.1511
13,9.22307,11.1144
14,10.9678,10.0063
15,8.09422,7.5066
16,8.81392,10.5687
17,10.2926,9.28722
18,8.30978,9.04925
19,7.64316,10.9649
20,4.73885,10.4407
21,6.8337,8.45643
22,6.80636,8.64883
23,8.43069,9.33029
24,6.92554,8.69651
25,7.14768,8.24349
26,9.97707,8.85315
27,7.06,9.61968
28,12.6681,10.3588
29,7.25063,12.0558
30,7.24126,16.8957
31,11.0404,9.33973
32,10.9404,12.9015
33,9.22618,13.0323
34,7.60959,10.7291
35,6.59279,9.38792
36,10.6294,10.7037
37,7.03287,9.4941
38,5.08934,8.28065
39,5.47658,11.0579
40,5.20724,8.97164
41,5.16145,9.5945
42,5.9427,6.53912
43,13.8227,7.3048
44,4.738,7.85293
45,5.60845,9.15115
46,6.54998,8.56704
47,6.95384,11.8609
48,14.9666,11.5483
49,-149.754,11.3682
50,14.3935,24.8962
51,14.7735,17.5969
52,-73.9662,42.2663
53,15.7498,-inf
54,-49.0984,-inf
55,-27.7191,-inf
56,27.6191,-inf
57,-110.583,-inf
58,49.0454,-inf
59,-147.244,-inf
60,63.0003,-inf
61,-26.0409,-inf
62,44.169,-inf
63,147.144,-inf
64,-220.816,-inf
65,-73.6995,-inf
66,36.7497,-inf
67,-63.1003,-inf
68,-110.52,-inf
69,29.3736,-inf
70,-110.258,-inf
71,inf,-inf
72,88.1064,-inf
73,-220.366,-inf
74,-88.238,-inf
75,-147.177,-inf
76,73.4828,-inf
