Frame,TTC Lidar,TTC Camera
1,12.9722,13.3569
2,12.264,13.3436
3,13.9161,8.04203
4,15.804,12.7506
5,12.5951,14.0199
6,7.14812,29.4532
7,34.3404,14.8063
8,18.7875,13.4569
9,15.8894,13.0092
10,9.85736,12.2958
11,14.9877,11.26
12,10.1,14.1635
13,9.22307,12.6379
14,10.9678,10.7715
15,8.09422,10.0893
16,8.81392,12.1376
17,10.2926,9.30434
18,8.30978,9.28479
19,7.64316,12.1312
20,4.73885,7.87848
21,6.8337,8.29459
22,6.80636,9.81923
23,8.43069,10.6675
24,6.92554,8.76469
25,7.14768,8.7277
26,9.97707,10.3209
27,7.06,10.6212
28,12.6681,14.8428
29,7.25063,11.0115
30,7.24126,15.7505
31,11.0404,10.8106
32,10.9404,12.6127
33,9.22618,13
34,7.60959,10.4816
35,6.59279,9.22865
36,10.6294,10.5345
37,7.03287,8.83723
38,5.08934,7.56334
39,5.47658,8.94521
40,5.20724,8.04936
41,5.16145,8.32251
42,5.9427,6.59447
43,13.8227,7.96617
44,4.738,8.34628
45,5.60845,9.69959
46,6.54998,8.87317
47,6.95384,12.3672
48,14.9666,10.624
49,-149.754,11.3229
50,14.3935,19.2516
51,14.7735,21.5554
52,-73.9662,51.1811
53,15.7498,-inf
54,-49.0984,-inf
55,-27.7191,-inf
56,27.6191,-inf
57,-110.583,-inf
58,49.0454,-inf
59,-147.244,-inf
60,63.0003,-inf
61,-26.0409,-inf
62,44.169,-inf
63,147.144,-inf
64,-220.816,-inf
65,-73.6995,-inf
66,36.7497,-inf
67,-63.1003,-inf
68,-110.52,-inf
69,29.3736,-inf
70,-110.258,-inf
71,inf,-inf
72,88.1064,-inf
73,-220.366,-inf
74,-88.238,-inf
75,-147.177,-inf
76,73.4828,-inf
