Frame,TTC Lidar,TTC Camera
1,12.9722,14.5631
2,12.264,12.6378
3,13.9161,11.129
4,15.804,19.9343
5,12.5951,12.3918
6,7.14812,15.1783
7,34.3404,10.1964
8,18.7875,12.7202
9,15.8894,12.2502
10,9.85736,12.9926
11,14.9877,10.9004
12,10.1,11.3442
13,9.22307,11.4933
14,10.9678,10.8785
15,8.09422,10.009
16,8.81392,9.98388
17,10.2926,8.709
18,8.30978,7.27764
19,7.64316,13.9303
20,4.73885,11.3401
21,6.8337,7.55337
22,6.80636,11.2209
23,8.43069,7.85874
24,6.92554,10.3595
25,7.14768,7.93465
26,9.97707,10.9539
27,7.06,10.4731
28,12.6681,9.87183
29,7.25063,12.7949
30,7.24126,15.8309
31,11.0404,9.86126
32,10.9404,13.7678
33,9.22618,12.3436
34,7.60959,13.0133
35,6.59279,11.7158
36,10.6294,11.0147
37,7.03287,8.81351
38,5.08934,10.3864
39,5.47658,8.52924
40,5.20724,7.20153
41,5.16145,8.65265
42,5.9427,6.56167
43,13.8227,9.16521
44,4.738,8.90241
45,5.60845,9.97331
46,6.54998,10.5156
47,6.95384,11.0595
48,14.9666,11.5281
49,-149.754,10.9082
50,14.3935,19.1174
51,14.7735,17.1834
52,-73.9662,31.129
53,15.7498,-inf
54,-49.0984,-inf
55,-27.7191,-59.2397
56,27.6191,524.683
57,-110.583,-inf
58,49.0454,-inf
59,-147.244,-inf
60,63.0003,-inf
61,-26.0409,-inf
62,44.169,-inf
63,147.144,-inf
64,-220.816,-inf
65,-73.6995,-inf
66,36.7497,-inf
67,-63.1003,-inf
68,-110.52,-inf
69,29.3736,-inf
70,-110.258,-inf
71,inf,-inf
72,88.1064,-inf
73,-220.366,-inf
74,-88.238,-inf
75,-147.177,-inf
76,73.4828,-inf
