Frame,TTC Lidar,TTC Camera
1,12.9722,620.522
2,12.264,16.2736
3,13.9161,17.5715
4,15.804,21.7012
5,12.5951,22.2092
6,7.14812,6.89655
7,34.3404,29.6668
8,18.7875,13.5891
9,15.8894,11.7597
10,9.85736,14.3641
11,14.9877,10.5031
12,10.1,9.01119
13,9.22307,9.38629
14,10.9678,8.79619
15,8.09422,9.0514
16,8.81392,9.26485
17,10.2926,8.51415
18,8.30978,8.78375
19,7.64316,7.92403
20,4.73885,7.86557
21,6.8337,9.63187
22,6.80636,11.1761
23,8.43069,6.49623
24,6.92554,10.5159
25,7.14768,7.41709
26,9.97707,16.6712
27,7.06,12.0744
28,12.6681,8.89392
29,7.25063,9.37972
30,7.24126,10.5983
31,11.0404,10.9964
32,10.9404,11.1346
33,9.22618,16.3766
34,7.60959,14.4699
35,6.59279,11.3577
36,10.6294,7.27974
37,7.03287,6.90293
38,5.08934,16.1891
39,5.47658,15.3706
40,5.20724,7.65407
41,5.16145,7.58778
42,5.9427,11.9195
43,13.8227,7.08375
44,4.738,7.46831
45,5.60845,8.62537
46,6.54998,8.25716
47,6.95384,9.72992
48,14.9666,9.77195
49,-149.754,12.8177
50,14.3935,16.5525
51,14.7735,21.3128
52,-73.9662,30.5137
53,15.7498,74.4763
54,-49.0984,-59.6455
55,-27.7191,-80.4481
56,27.6191,-131.549
57,-110.583,-135.774
58,49.0454,-867.649
59,-147.244,-389.351
60,63.0003,-272.743
61,-26.0409,-1068.79
62,44.169,-268.242
63,147.144,-187.384
64,-220.816,-77.919
65,-73.6995,-654.711
66,36.7497,-59.7109
67,-63.1003,-66.6779
68,-110.52,682.167
69,29.3736,-119.142
70,-110.258,-171.159
71,inf,-104.337
72,88.1064,166.533
73,-220.366,-922.476
74,-88.238,82.6312
75,-147.177,-127.382
76,73.4828,-152.738
