Frame,TTC Lidar,TTC Camera
1,12.9722,16.6913
2,12.264,15.1945
3,13.9161,35.1571
4,15.804,17.4119
5,12.5951,14.5144
6,7.14812,11.9895
7,34.3404,11.2402
8,18.7875,14.5425
9,15.8894,12.9851
10,9.85736,8.85788
11,14.9877,13.8549
12,10.1,9.92445
13,9.22307,10.0702
14,10.9678,10.5715
15,8.09422,8.78774
16,8.81392,9.28753
17,10.2926,8.81564
18,8.30978,9.67519
19,7.64316,9.25354
20,4.73885,7.6477
21,6.8337,8.61474
22,6.80636,9.76538
23,8.43069,8.02372
24,6.92554,9.02992
25,7.14768,9.29485
26,9.97707,8.82161
27,7.06,9.67492
28,12.6681,10.5034
29,7.25063,9.38645
30,7.24126,11.0623
31,11.0404,10.6776
32,10.9404,10.8112
33,9.22618,23.9663
34,7.60959,10.7404
35,6.59279,11.0883
36,10.6294,9.9638
37,7.03287,8.01393
38,5.08934,11.2548
39,5.47658,7.49922
40,5.20724,6.54883
41,5.16145,6.98651
42,5.9427,8.42893
43,13.8227,7.07543
44,4.738,9.41708
45,5.60845,9.5091
46,6.54998,8.53561
47,6.95384,10.0789
48,14.9666,10.1034
49,-149.754,14.2606
50,14.3935,16.9326
51,14.7735,20.1885
52,-73.9662,31.583
53,15.7498,102.781
54,-49.0984,-58.4563
55,-27.7191,-112.384
56,27.6191,6712.36
57,-110.583,-1089.97
58,49.0454,-209.683
59,-147.244,-143.879
60,63.0003,-2350.72
61,-26.0409,-766.154
62,44.169,-382.713
63,147.144,-132.588
64,-220.816,-303.881
65,-73.6995,-170.335
66,36.7497,-166.356
67,-63.1003,-255.768
68,-110.52,2486.53
69,29.3736,-604.633
70,-110.258,-158.948
71,inf,-337.851
72,88.1064,329.275
73,-220.366,-373.565
74,-88.238,232.174
75,-147.177,-638.412
76,73.4828,-493.18
