Frame,TTC Lidar,TTC Camera
1,12.9722,19.9025
2,12.264,-0.650049
3,13.9161,12.1743
4,15.804,29.0998
5,12.5951,15.4907
6,7.14812,12.4107
7,34.3404,9.16362
8,18.7875,11.4426
9,15.8894,12.8951
10,9.85736,10.8395
11,14.9877,11.2665
12,10.1,10.9586
13,9.22307,8.41636
14,10.9678,8.62066
15,8.09422,8.42675
16,8.81392,12.932
17,10.2926,9.19456
18,8.30978,9.72885
19,7.64316,9.43144
20,4.73885,9.0566
21,6.8337,9.27347
22,6.80636,8.59302
23,8.43069,9.5007
24,6.92554,7.81523
25,7.14768,8.87268
26,9.97707,9.62953
27,7.06,9.60867
28,12.6681,9.65528
29,7.25063,10.5649
30,7.24126,12.0951
31,11.0404,10.5342
32,10.9404,12.552
33,9.22618,18.0454
34,7.60959,10.056
35,6.59279,10.6435
36,10.6294,10.2998
37,7.03287,7.76864
38,5.08934,7.559
39,5.47658,8.01531
40,5.20724,7.28772
41,5.16145,7.44346
42,5.9427,9.0436
43,13.8227,7.27038
44,4.738,8.26722
45,5.60845,8.10849
46,6.54998,8.47707
47,6.95384,9.40844
48,14.9666,10.0808
49,-149.754,11.8531
50,14.3935,14.6699
51,14.7735,17.9247
52,-73.9662,27.6839
53,15.7498,69.8381
54,-49.0984,-66.1307
55,-27.7191,-121.602
56,27.6191,-323.979
57,-110.583,410.926
58,49.0454,-359.672
59,-147.244,-230.662
60,63.0003,-312.386
61,-26.0409,-24680.2
62,44.169,-273.226
63,147.144,-137.71
64,-220.816,-196.254
65,-73.6995,-211.839
66,36.7497,-147.237
67,-63.1003,-228.037
68,-110.52,805.9
69,29.3736,-460.954
70,-110.258,-169.314
71,inf,-2640.71
72,88.1064,644.438
73,-220.366,-409.743
74,-88.238,251.969
75,-147.177,-3400.87
76,73.4828,1422.59
