Frame,TTC Lidar,TTC Camera
1,12.9722,18.5786
2,12.264,26.3582
3,13.9161,12.1733
4,15.804,23.5161
5,12.5951,19.0714
6,7.14812,13.5295
7,34.3404,15.6934
8,18.7875,10.8758
9,15.8894,14.3403
10,9.85736,11.2594
11,14.9877,8.51621
12,10.1,10.6007
13,9.22307,9.50605
14,10.9678,8.07527
15,8.09422,9.62854
16,8.81392,10.8655
17,10.2926,8.00582
18,8.30978,8.59542
19,7.64316,8.94054
20,4.73885,8.45572
21,6.8337,7.5933
22,6.80636,10.1591
23,8.43069,8.95094
24,6.92554,9.6287
25,7.14768,9.67689
26,9.97707,9.32198
27,7.06,12.4582
28,12.6681,10.6841
29,7.25063,11.82
30,7.24126,11.5586
31,11.0404,11.6589
32,10.9404,12.6941
33,9.22618,19.1361
34,7.60959,10.7754
35,6.59279,10.4388
36,10.6294,8.89611
37,7.03287,8.15874
38,5.08934,13.5523
39,5.47658,11.2014
40,5.20724,22.2595
41,5.16145,7.95857
42,5.9427,9.01199
43,13.8227,8.29603
44,4.738,7.75268
45,5.60845,9.62318
46,6.54998,9.06357
47,6.95384,9.44934
48,14.9666,9.80378
49,-149.754,12.1973
50,14.3935,15.4173
51,14.7735,19.2696
52,-73.9662,29.174
53,15.7498,100.385
54,-49.0984,-77.681
55,-27.7191,-106.754
56,27.6191,-589.836
57,-110.583,-1057.15
58,49.0454,-151.806
59,-147.244,-283.106
60,63.0003,-201.15
61,-26.0409,-369.338
62,44.169,-473.248
63,147.144,-210.05
64,-220.816,-260.634
65,-73.6995,-480.931
66,36.7497,-58.0449
67,-63.1003,-123.829
68,-110.52,-272.944
69,29.3736,-942.869
70,-110.258,-195.85
71,inf,-419.96
72,88.1064,412.749
73,-220.366,-734.687
74,-88.238,332.821
75,-147.177,16320.5
76,73.4828,-331.914
